14/07/2023 13:40:10  Cadastrou -> VC83202 
14/07/2023 13:56:17  Cadastrou -> VC73674 
14/07/2023 13:58:30  Cadastrou -> VC83599 
14/07/2023 15:39:59 Vitor Cadastrou -> VC73178 
14/07/2023 15:40:56 Vitor Cadastrou -> VC83463 
14/07/2023 15:48:40 Vitor Cadastrou -> VC73711 
14/07/2023 15:49:22 Vitor Cadastrou -> VC83645 
14/07/2023 15:53:51 Vitor Cadastrou -> VC73712 
14/07/2023 15:54:27 Vitor Cadastrou -> VC83501 
14/07/2023 15:59:05 Vitor Cadastrou -> VC74006 
14/07/2023 16:00:49 Vitor Cadastrou -> VC83483 
14/07/2023 18:32:21 Vitor Cadastrou -> VC74030 
14/07/2023 18:33:07 Vitor Cadastrou -> VC83621 
14/07/2023 18:39:39 Vitor Cadastrou -> VC74010 
14/07/2023 18:42:09 Vitor Cadastrou -> VC83474 
14/07/2023 18:48:58 Vitor Cadastrou -> VC73705 
14/07/2023 18:49:39 Vitor Cadastrou -> VC83072 
14/07/2023 18:57:45 Vitor Cadastrou -> VC73717 
14/07/2023 18:58:29 Vitor Cadastrou -> VC83087 
14/07/2023 19:05:59 mateus Cadastrou -> VC74024 
14/07/2023 19:07:00 mateus Cadastrou -> VC83233 
14/07/2023 19:09:28 mateus Cadastrou -> VC73817 
14/07/2023 19:10:09 mateus Cadastrou -> VC83082 
14/07/2023 19:10:42 Vitor Cadastrou -> VC73090 
14/07/2023 19:11:30 Vitor Cadastrou -> VC83459 
14/07/2023 19:11:50 mateus Cadastrou -> VC72437 
14/07/2023 19:13:55 mateus Cadastrou -> VC83173 
14/07/2023 19:17:16 mateus Cadastrou -> VC73965 
14/07/2023 19:18:08 mateus Cadastrou -> VC83146 
14/07/2023 19:20:17 mateus Cadastrou -> VC73729 
14/07/2023 19:21:00 mateus Cadastrou -> VC83226 
14/07/2023 19:21:57 Vitor Cadastrou -> VC73095 
14/07/2023 19:22:34 Vitor Cadastrou -> VC83171 
14/07/2023 19:26:46 mateus Cadastrou -> VC74023 
14/07/2023 19:27:42 mateus Cadastrou -> VC83090 
14/07/2023 19:31:15 mateus Cadastrou -> VC73784 
14/07/2023 19:31:45 mateus Cadastrou -> VC83093 
14/07/2023 19:38:25 mateus Cadastrou -> VC74022 
14/07/2023 19:39:44 mateus Cadastrou -> VC83229 
14/07/2023 19:40:52 Renato Cadastrou -> VC74044 
14/07/2023 19:41:32 Renato Cadastrou -> VC83593 
14/07/2023 19:46:46 mateus Cadastrou -> VC73334 
14/07/2023 19:47:25 mateus Cadastrou -> VC83119 
14/07/2023 19:48:50 Vitor Cadastrou -> VC74011 
14/07/2023 19:49:32 Vitor Cadastrou -> VC83204 
14/07/2023 19:49:47 Renato Cadastrou -> VC74045 
14/07/2023 19:51:05 Renato Cadastrou -> VC83494 
14/07/2023 19:56:09 mateus Cadastrou -> VC33493 
14/07/2023 19:56:42 mateus Cadastrou -> VC83084 
14/07/2023 19:57:31 Vitor Cadastrou -> VC73684 
14/07/2023 19:58:05 Vitor Cadastrou -> VC83604 
14/07/2023 20:01:49 mateus Cadastrou -> VC73412 
14/07/2023 20:03:07 mateus Cadastrou -> VC83178 
14/07/2023 20:06:40 mateus Cadastrou -> VC73403 
14/07/2023 20:07:23 mateus Cadastrou -> VC83085 
14/07/2023 20:07:34 Vitor Cadastrou -> VC73683 
14/07/2023 20:08:23 Vitor Cadastrou -> VC83594 
14/07/2023 20:16:41 mateus Cadastrou -> VC73894 
14/07/2023 20:33:30 mateus Cadastrou -> VC83114 
14/07/2023 20:47:39 mateus Cadastrou -> VC73406 
14/07/2023 20:48:38 mateus Cadastrou -> VC83225 
